Geo Market Area,ASP 12/2021 - 12/2022,ASP 12/2022 - 12/2023,% Change,Transactions 12/2021 - 12/2022,Transactions 12/2022 - 12/2023,% Change,MOI 11/2022,MOI 11/2023,% Change,Avg DOM 12/2021 - 12/2022,Avg DOM 12/2022 - 12/2023,% Change
1960/Cypress,"$305,022 ","$319,320 ",4.70%,290,205,-29.30%,1.5,2.6,72.10%,15,35.7,138.00%
1960/Cypress Creek North,"$321,283 ","$331,624 ",3.20%,411,245,-40.40%,2.2,4.6,107.50%,27.6,39.2,42.00%
1960/Cypress Creek South,"$265,879 ","$258,609 ",-2.70%,786,613,-22.00%,2.2,2.9,28.20%,23.3,40.2,72.50%
Aldine Area,"$237,692 ","$237,042 ",-0.30%,880,755,-14.20%,2.5,2.9,14.60%,23.2,38.1,64.20%
Alief,"$260,950 ","$262,756 ",0.70%,523,443,-15.30%,2.5,3.2,25.50%,21.8,31.6,45.00%
Alvin North,"$407,426 ","$419,515 ",3.00%,1500,1358,-9.50%,4.8,4.2,-13.20%,57.2,75.6,32.20%
Alvin South,"$299,416 ","$295,501 ",-1.30%,446,381,-14.60%,2.9,4.2,45.80%,32.2,46.7,45.00%
Angelina County,"$290,968 ","$291,363 ",0.10%,115,109,-5.20%,3.9,6.3,62.50%,43.5,53.8,23.70%
Angleton,"$283,911 ","$280,500 ",-1.20%,452,450,-0.40%,4.8,4,-17.80%,43.6,72.6,66.50%
Apple Springs/Pennington,"$322,383 ","$269,133 ",-16.50%,6,3,-50.00%,-,-,-,31.2,76.3,144.60%
Atascocita North,"$307,114 ","$314,121 ",2.30%,247,158,-36.00%,1.6,3.9,149.10%,18.7,37.9,102.70%
Atascocita South,"$335,228 ","$332,381 ",-0.80%,810,569,-29.80%,1.7,2.5,44.80%,19,35.5,86.80%
Bacliff/San Leon,"$310,011 ","$270,330 ",-12.80%,198,148,-25.30%,4.8,6.6,37.20%,40.3,48.3,19.90%
Bayou Vista,"$412,778 ","$418,772 ",1.50%,79,61,-22.80%,4.6,4.1,-9.30%,32.4,65.2,101.20%
Baytown/Chambers County,"$281,425 ","$279,424 ",-0.70%,194,152,-21.60%,4.3,2.4,-43.50%,50.7,81.6,60.90%
Baytown/Harris County,"$251,211 ","$247,246 ",-1.60%,1304,1296,-0.60%,3,2.8,-3.80%,36.9,44.1,19.50%
Bear Creek South,"$291,848 ","$292,990 ",0.40%,1311,1052,-19.80%,2.2,2.5,12.90%,17.6,34.7,97.20%
Bellaire Area,"$999,228 ","$1,110,468 ",11.10%,264,201,-23.90%,2.7,2.6,-5.90%,44.2,32.9,-25.60%
Braeswood Place,"$1,060,793 ","$1,255,809 ",18.40%,92,74,-19.60%,2.6,5,92.70%,33.5,27.8,-17.00%
Brays Oaks,"$317,868 ","$315,047 ",-0.90%,614,415,-32.40%,2.3,3,29.30%,30.8,34.5,12.00%
Briar Hollow,"$1,405,833 ","$1,650,545 ",17.40%,6,7,16.70%,-,-,-,97,60.7,-37.40%
Briargrove,"$1,125,013 ","$1,049,021 ",-6.80%,87,61,-29.90%,2.1,1.6,-23.90%,25.8,36,39.50%
